class,분류,코드,음 식 명,중량(g),에너지(kcal),탄수화물(g),단백질(g),지방(g),나트륨(mg),당류(g),칼슘(mg),인(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g),,
37,밥류01,01-015-017,소머리국밥,1100.00 ,891.43 ,77.06 ,48.94 ,40.76 ,970.90 ,0.00 ,53.26 ,302.43 ,455.78 ,24.67 ,1.89 ,4.22 ,477.10 ,0.00 ,,
38,밥류01,01-015-018,돼지국밥,1200.00 ,811.44 ,78.28 ,56.76 ,36.45 ,1257.67 ,3.30 ,65.73 ,280.74 ,497.83 ,57.14 ,42.95 ,43.67 ,734.50 ,0.00 ,,
39,밥류01,01-015-019,하이라이스,360.00 ,477.60 ,84.59 ,7.92 ,9.67 ,991.68 ,0.00 ,5.94 ,139.95 ,251.61 ,6.60 ,0.55 ,1.51 ,8.57 ,0.00 ,,
40,밥류01,01-016-001,김치김밥,250.00 ,377.26 ,71.80 ,11.45 ,4.62 ,967.79 ,0.00 ,79.06 ,220.20 ,413.86 ,3.60 ,1.46 ,1.96 ,99.60 ,0.00 ,,
41,밥류01,01-016-002,농어초밥,250.00 ,414.78 ,74.14 ,19.93 ,2.37 ,1385.46 ,6.97 ,54.13 ,273.49 ,479.70 ,0.00 ,1.58 ,1.67 ,43.47 ,0.00 ,,
42,밥류01,01-016-003,문어초밥,250.00 ,377.97 ,71.84 ,16.90 ,1.03 ,1420.92 ,4.98 ,30.20 ,256.61 ,395.09 ,25.75 ,1.11 ,2.52 ,96.00 ,0.00 ,,
43,밥류01,01-016-004,새우초밥,250.00 ,395.54 ,69.54 ,22.74 ,1.21 ,1396.75 ,2.99 ,73.39 ,341.13 ,372.75 ,2.60 ,2.62 ,2.17 ,138.33 ,0.00 ,,
44,밥류01,01-016-005,새우튀김롤,300.00 ,572.02 ,81.50 ,21.11 ,18.90 ,1512.50 ,4.00 ,110.82 ,371.52 ,715.82 ,0.24 ,3.42 ,2.49 ,96.54 ,0.00 ,,
45,밥류01,01-016-006,샐러드김밥,250.00 ,422.43 ,75.84 ,12.76 ,7.51 ,906.68 ,0.00 ,45.66 ,226.51 ,541.33 ,13.74 ,2.15 ,2.24 ,100.53 ,0.00 ,,
46,밥류01,01-016-007,광어초밥,300.00 ,471.66 ,72.53 ,33.74 ,3.21 ,951.28 ,5.23 ,88.07 ,410.89 ,747.09 ,1.40 ,2.96 ,1.94 ,126.50 ,0.00 ,,
47,밥류01,01-016-008,소고기김밥,250.00 ,425.67 ,76.07 ,14.67 ,6.64 ,1477.98 ,0.00 ,64.33 ,236.14 ,554.00 ,12.52 ,2.27 ,2.61 ,99.87 ,0.00 ,,
48,밥류01,01-016-009,갈비삼각김밥,100.00 ,183.18 ,32.75 ,6.86 ,2.60 ,398.12 ,0.00 ,14.93 ,90.90 ,180.59 ,4.93 ,1.16 ,1.17 ,12.42 ,0.00 ,,
49,밥류01,01-016-010,연어롤 ,300.00 ,518.58 ,76.11 ,20.72 ,14.72 ,1243.82 ,0.00 ,64.97 ,359.16 ,665.56 ,23.58 ,3.83 ,2.14 ,51.73 ,0.00 ,,
50,밥류01,01-016-011,연어초밥,250.00 ,451.03 ,70.87 ,24.94 ,5.76 ,995.03 ,3.96 ,38.03 ,367.08 ,476.13 ,0.80 ,1.69 ,1.87 ,54.60 ,0.00 ,,
51,밥류01,01-016-012,유부초밥,250.00 ,463.21 ,78.47 ,12.37 ,11.23 ,929.07 ,6.77 ,120.18 ,225.59 ,291.50 ,27.28 ,2.11 ,2.14 ,0.00 ,0.00 ,,
52,밥류01,01-016-013,장어초밥,400.00 ,486.35 ,74.84 ,16.33 ,12.73 ,1291.81 ,2.06 ,132.83 ,283.27 ,500.64 ,14.55 ,2.52 ,2.39 ,130.43 ,0.00 ,,
53,밥류01,01-016-014,참치김밥,250.00 ,401.22 ,47.55 ,19.83 ,14.59 ,925.73 ,0.00 ,57.81 ,279.82 ,380.33 ,15.63 ,4.52 ,1.96 ,143.67 ,0.00 ,,
54,밥류01,01-016-015,참치마요삼각김밥,100.00 ,189.58 ,31.93 ,8.11 ,2.89 ,189.10 ,0.00 ,6.98 ,82.82 ,69.28 ,0.00 ,1.59 ,0.77 ,16.63 ,0.00 ,,
55,밥류01,01-016-017,치즈김밥 ,250.00 ,462.23 ,77.13 ,17.12 ,8.84 ,919.97 ,0.00 ,137.52 ,330.23 ,445.72 ,10.18 ,1.43 ,2.53 ,83.02 ,0.00 ,,
56,밥류01,01-016-018,캘리포니아롤,300.00 ,468.16 ,81.22 ,12.80 ,9.73 ,1351.96 ,0.00 ,106.58 ,211.89 ,271.15 ,3.06 ,4.95 ,3.08 ,28.34 ,0.00 ,,
57,밥류01,01-016-019,한치초밥,250.00 ,389.96 ,77.31 ,13.54 ,1.20 ,1153.49 ,1.74 ,19.98 ,222.63 ,182.25 ,1.65 ,1.86 ,2.54 ,0.75 ,0.00 ,,
58,밥류01,01-016-020,일반김밥,200.00 ,348.87 ,63.64 ,10.28 ,5.42 ,951.32 ,0.00 ,41.45 ,159.43 ,355.38 ,3.24 ,3.40 ,1.91 ,69.12 ,0.00 ,,
59,면류02,02-011-001,간자장,650.00 ,807.74 ,121.75 ,29.28 ,26.38 ,2347.77 ,6.79 ,124.35 ,308.09 ,607.18 ,21.25 ,7.06 ,2.61 ,19.43 ,0.00 ,,
60,면류02,02-011-002,굴짬뽕,900.00 ,640.77 ,115.82 ,37.39 ,7.76 ,2385.35 ,2.00 ,196.77 ,506.60 ,1371.89 ,48.86 ,14.28 ,10.34 ,178.20 ,0.00 ,,
61,면류02,02-011-003,기스면,1000.00 ,645.61 ,98.30 ,43.52 ,11.00 ,2279.52 ,0.00 ,270.98 ,443.37 ,862.72 ,11.60 ,12.27 ,3.13 ,341.10 ,0.00 ,,
62,면류02,02-011-004,김치라면,650.00 ,512.26 ,80.57 ,12.97 ,20.34 ,2628.29 ,2.27 ,62.70 ,166.94 ,652.67 ,1.50 ,1.82 ,1.30 ,15.41 ,0.00 ,,
63,면류02,02-011-005,김치우동,800.00 ,512.71 ,99.06 ,16.74 ,4.74 ,3003.05 ,0.00 ,247.86 ,233.55 ,725.53 ,11.20 ,4.14 ,1.76 ,33.44 ,0.00 ,,
64,면류02,02-011-006,김치말이국수,600.00 ,310.38 ,60.76 ,10.42 ,2.47 ,2335.45 ,3.00 ,105.79 ,191.00 ,453.96 ,-,2.43 ,1.43 ,22.23 ,0.00 ,,
65,면류02,02-011-007,닭칼국수,900.00 ,643.10 ,70.24 ,39.86 ,19.59 ,2492.77 ,0.00 ,110.16 ,285.97 ,913.48 ,5.78 ,2.45 ,1.64 ,113.77 ,0.00 ,,
66,면류02,02-011-008,들깨칼국수,600.00 ,442.32 ,76.67 ,17.48 ,6.78 ,1695.77 ,2.40 ,176.47 ,217.32 ,693.31 ,0.00 ,2.45 ,1.08 ,16.72 ,0.00 ,,
67,면류02,02-011-009,떡라면,700.00 ,672.18 ,121.08 ,15.45 ,17.58 ,2214.36 ,0.00 ,30.33 ,2376.04 ,362.51 ,0.52 ,1.59 ,1.35 ,2.34 ,0.00 ,,
68,면류02,02-011-010,라면,550.00 ,509.33 ,83.17 ,14.08 ,17.75 ,1695.50 ,0.00 ,32.99 ,145.28 ,374.07 ,0.97 ,1.23 ,1.19 ,2.34 ,0.00 ,,
69,면류02,02-011-011,막국수,550.00 ,566.89 ,111.30 ,26.95 ,5.09 ,1828.02 ,11.02 ,68.90 ,286.78 ,894.77 ,19.55 ,3.93 ,5.23 ,37.10 ,0.00 ,,
70,면류02,02-011-012,메밀국수,600.00 ,588.68 ,120.09 ,25.26 ,4.53 ,1962.46 ,10.16 ,76.06 ,224.96 ,629.12 ,11.48 ,3.21 ,4.64 ,35.98 ,0.00 ,,
71,면류02,02-011-013,물냉면,800.00 ,579.71 ,96.40 ,28.78 ,9.78 ,2586.16 ,1.20 ,87.74 ,422.72 ,1042.89 ,16.39 ,7.77 ,5.69 ,178.23 ,0.00 ,,
72,면류02,02-011-014,비빔국수,550.00 ,577.17 ,114.48 ,16.71 ,9.55 ,1628.30 ,11.02 ,130.69 ,262.58 ,1389.40 ,7.55 ,6.27 ,2.59 ,0.00 ,0.00 ,,
