class,분류,코드,음 식 명,중량(g),에너지(kcal),탄수화물(g),단백질(g),지방(g),나트륨(mg),당류(g),칼슘(mg),인(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g),,
240,볶음류08,08-011-004,어묵볶음,150.00 ,281.54 ,36.28 ,18.04 ,8.08 ,1283.83 ,4.47 ,120.59 ,167.69 ,459.18 ,-,2.32 ,1.32 ,18.90 ,0.00 ,,
241,볶음류08,08-011-005,오징어볶음,200.00 ,243.70 ,27.42 ,20.43 ,6.84 ,1025.86 ,9.28 ,94.34 ,294.84 ,822.24 ,-,2.88 ,2.48 ,198.00 ,0.00 ,,
242,볶음류08,08-011-006,오징어채볶음,20.00 ,55.71 ,7.00 ,5.39 ,0.69 ,240.96 ,1.35 ,6.23 ,64.82 ,50.89 ,-,0.28 ,0.41 ,50.05 ,0.00 ,,
243,볶음류08,08-011-007,주꾸미볶음,200.00 ,211.81 ,21.69 ,20.16 ,6.11 ,969.88 ,6.70 ,88.04 ,278.06 ,699.04 ,-,3.67 ,3.32 ,385.60 ,0.00 ,,
244,볶음류08,08-011-008,해물볶음,400.00 ,420.53 ,36.53 ,37.48 ,15.32 ,1647.02 ,7.66 ,148.98 ,522.01 ,1158.85 ,-,14.84 ,4.23 ,376.20 ,0.00 ,,
245,볶음류08,08-012-001,감자볶음,50.00 ,57.80 ,8.23 ,1.34 ,2.53 ,219.94 ,0.50 ,10.63 ,33.28 ,254.61 ,-,0.39 ,0.30 ,0.00 ,0.00 ,,
246,볶음류08,08-012-002,김치볶음,200.00 ,189.97 ,21.83 ,5.29 ,12.13 ,1513.41 ,8.96 ,116.21 ,150.16 ,766.98 ,-,2.12 ,1.27 ,0.00 ,0.00 ,,
247,볶음류08,08-012-003,깻잎나물볶음,200.00 ,212.39 ,17.33 ,8.03 ,16.37 ,1046.43 ,0.20 ,670.52 ,172.55 ,933.81 ,-,5.58 ,1.40 ,5.20 ,0.00 ,,
248,볶음류08,08-012-004,느타리버섯볶음,150.00 ,133.32 ,14.22 ,4.41 ,8.93 ,625.25 ,0.15 ,21.59 ,98.74 ,530.39 ,-,1.13 ,1.55 ,0.00 ,0.00 ,,
249,볶음류08,08-012-005,두부김치,250.00 ,292.42 ,13.84 ,19.15 ,21.32 ,1033.85 ,0.00 ,153.45 ,311.65 ,740.55 ,-,4.38 ,3.14 ,30.00 ,0.00 ,,
250,볶음류08,08-012-006,머위나물볶음,150.00 ,102.99 ,7.71 ,4.30 ,7.95 ,696.92 ,0.00 ,101.09 ,94.61 ,529.54 ,-,2.56 ,0.44 ,0.00 ,0.00 ,,
251,볶음류08,08-012-007,양송이버섯볶음,150.00 ,132.42 ,10.55 ,5.46 ,9.79 ,520.11 ,0.00 ,33.02 ,161.61 ,856.38 ,-,2.51 ,1.30 ,0.00 ,0.00 ,,
252,볶음류08,08-012-008,표고버섯볶음,150.00 ,143.60 ,14.28 ,4.01 ,7.36 ,563.59 ,1.49 ,31.77 ,67.16 ,512.86 ,-,2.43 ,0.85 ,0.00 ,0.00 ,,
253,볶음류08,08-012-009,고추잡채,200.00 ,264.22 ,22.11 ,12.86 ,12.71 ,850.31 ,8.45 ,54.82 ,219.04 ,561.56 ,-,2.83 ,2.15 ,50.80 ,0.00 ,,
254,볶음류08,08-012-010,호박볶음,50.00 ,29.19 ,3.09 ,0.77 ,2.01 ,223.28 ,0.00 ,10.37 ,20.39 ,135.05 ,-,0.37 ,0.17 ,0.07 ,0.00 ,,
255,볶음류08,08-013-001,돼지고기볶음,200.00 ,353.13 ,15.33 ,25.75 ,20.94 ,1060.33 ,4.75 ,32.86 ,402.25 ,457.95 ,-,3.94 ,4.54 ,84.00 ,0.00 ,,
256,볶음류08,08-013-002,돼지껍데기볶음,150.00 ,346.14 ,22.73 ,22.39 ,19.23 ,759.29 ,15.84 ,29.84 ,72.08 ,267.06 ,-,2.28 ,1.24 ,95.40 ,0.00 ,,
257,볶음류08,08-013-003,소세지볶음,200.00 ,476.04 ,28.81 ,17.04 ,33.24 ,1409.05 ,5.83 ,27.46 ,260.35 ,495.96 ,-,2.50 ,2.22 ,56.26 ,0.00 ,,
258,볶음류08,08-013-004,순대볶음,400.00 ,579.56 ,70.96 ,17.58 ,25.61 ,1379.55 ,14.29 ,271.54 ,265.92 ,1048.02 ,-,8.10 ,4.43 ,189.92 ,0.00 ,,
259,볶음류08,08-013-005,오리불고기,250.00 ,559.93 ,24.47 ,38.16 ,34.25 ,854.07 ,4.07 ,66.06 ,420.21 ,1004.86 ,-,5.80 ,4.84 ,124.82 ,0.00 ,,
260,볶음류08,08-013-006,오삼불고기,200.00 ,356.94 ,21.46 ,23.35 ,20.24 ,870.40 ,7.42 ,77.92 ,307.85 ,635.00 ,-,2.21 ,2.78 ,164.30 ,0.00 ,,
261,볶음류08,08-014-001,떡볶이,200.00 ,300.76 ,58.85 ,8.72 ,2.96 ,862.23 ,5.70 ,72.03 ,179.37 ,251.44 ,-,1.57 ,1.11 ,6.00 ,0.00 ,,
262,볶음류08,08-014-002,라볶이,200.00 ,266.03 ,41.13 ,7.96 ,9.59 ,836.24 ,6.36 ,43.56 ,93.55 ,276.68 ,-,1.73 ,0.59 ,6.90 ,0.00 ,,
263,볶음류08,08-014-003,마파두부,200.00 ,226.92 ,10.99 ,16.85 ,12.01 ,647.45 ,0.57 ,153.43 ,257.27 ,332.84 ,-,3.08 ,2.27 ,19.15 ,0.00 ,,
264,조림류09,09-011-001,가자미조림,300.00 ,301.29 ,20.34 ,40.70 ,6.90 ,1621.23 ,5.99 ,114.12 ,417.78 ,1153.38 ,-,3.29 ,1.56 ,165.00 ,0.00 ,,
265,조림류09,09-011-002,갈치조림,100.00 ,99.39 ,5.49 ,10.68 ,3.92 ,463.82 ,0.50 ,38.67 ,129.74 ,302.99 ,6.18 ,1.15 ,0.60 ,42.00 ,0.00 ,,
266,조림류09,09-011-003,고등어조림,250.00 ,459.34 ,10.96 ,45.37 ,25.35 ,1177.96 ,1.46 ,124.96 ,554.48 ,1033.41 ,-,5.19 ,2.68 ,170.15 ,0.00 ,,
267,조림류09,09-011-004,꽁치조림,150.00 ,280.09 ,8.36 ,22.59 ,16.67 ,679.42 ,1.39 ,113.62 ,294.58 ,448.77 ,-,3.34 ,1.14 ,67.20 ,0.00 ,,
268,조림류09,09-011-005,동태조림,250.00 ,270.61 ,16.77 ,39.03 ,4.09 ,1440.18 ,5.00 ,148.76 ,525.69 ,982.83 ,-,2.06 ,1.41 ,211.05 ,0.00 ,,
269,조림류09,09-011-006,북어조림,100.00 ,184.58 ,15.66 ,23.88 ,3.04 ,761.39 ,2.91 ,97.10 ,246.45 ,487.86 ,8.05 ,1.81 ,0.55 ,103.95 ,0.00 ,,
270,조림류09,09-011-007,조기조림,300.00 ,378.26 ,14.24 ,41.43 ,16.26 ,1682.90 ,1.45 ,108.47 ,443.38 ,1222.74 ,-,3.75 ,2.43 ,176.61 ,0.00 ,,
271,조림류09,09-011-008,코다리조림,100.00 ,146.67 ,4.57 ,18.46 ,5.62 ,433.18 ,0.50 ,42.41 ,197.97 ,324.84 ,3.85 ,0.85 ,0.51 ,77.60 ,0.00 ,,
272,조림류09,09-012-001,달걀장조림,100.00 ,133.73 ,10.03 ,8.75 ,6.40 ,636.61 ,3.17 ,45.52 ,132.58 ,267.37 ,15.60 ,1.35 ,1.07 ,308.75 ,0.00 ,,
273,조림류09,09-012-002,메추리알장조림,100.00 ,205.08 ,7.36 ,12.11 ,13.69 ,758.90 ,2.45 ,65.22 ,190.66 ,279.19 ,4.75 ,1.93 ,1.72 ,530.64 ,0.00 ,,
274,조림류09,09-013-001,돼지고기메추리알장조림,50.00 ,62.97 ,3.14 ,7.62 ,2.11 ,555.79 ,0.84 ,11.30 ,78.71 ,153.47 ,-,0.73 ,0.86 ,77.30 ,0.00 ,,
275,조림류09,09-013-002,소고기메추리알장조림,50.00 ,61.22 ,3.45 ,6.67 ,2.21 ,608.30 ,1.00 ,17.18 ,77.91 ,169.55 ,-,1.78 ,0.86 ,70.17 ,0.00 ,,
276,조림류09,09-014-001,고추조림,100.00 ,105.88 ,14.83 ,2.86 ,4.19 ,802.46 ,2.99 ,31.72 ,52.22 ,185.44 ,18.67 ,0.89 ,0.44 ,0.00 ,0.00 ,,
277,조림류09,09-014-002,감자조림,50.00 ,39.01 ,8.40 ,1.55 ,0.20 ,265.92 ,0.79 ,9.76 ,35.95 ,222.52 ,-,0.41 ,0.25 ,0.00 ,0.00 ,,
278,조림류09,09-014-003,우엉조림,30.00 ,68.50 ,15.51 ,1.10 ,0.33 ,242.28 ,7.61 ,15.62 ,24.22 ,106.85 ,-,0.32 ,0.24 ,0.00 ,0.00 ,,
279,조림류09,09-014-004,알감자조림,50.00 ,56.23 ,10.48 ,1.38 ,1.26 ,241.73 ,1.57 ,13.10 ,40.96 ,214.52 ,-,0.82 ,0.28 ,0.00 ,0.00 ,,
280,조림류09,09-015-001,(검은)콩조림,20.00 ,56.83 ,6.98 ,3.85 ,2.09 ,102.85 ,2.92 ,24.80 ,64.41 ,33.39 ,-,0.88 ,0.31 ,0.00 ,0.00 ,,
281,조림류09,09-015-002,콩조림,20.00 ,59.22 ,7.75 ,3.57 ,1.94 ,234.70 ,2.92 ,14.38 ,9.88 ,128.36 ,-,0.87 ,0.43 ,0.00 ,0.00 ,,
282,조림류09,09-015-003,두부고추장조림,50.00 ,67.14 ,4.03 ,5.14 ,4.00 ,199.23 ,1.89 ,69.91 ,81.64 ,79.71 ,-,0.96 ,0.58 ,0.00 ,0.00 ,,
283,조림류09,09-016-001,땅콩조림,20.00 ,80.42 ,6.54 ,2.91 ,5.11 ,154.25 ,3.27 ,14.63 ,45.44 ,90.95 ,-,0.58 ,0.72 ,0.00 ,0.00 ,,
284,튀김류10,10-011-001,미꾸라지튀김,100.00 ,382.13 ,30.57 ,12.69 ,22.54 ,323.26 ,0.00 ,342.03 ,254.09 ,192.60 ,11.20 ,4.40 ,1.64 ,121.30 ,0.00 ,,
285,튀김류10,10-011-002,새우튀김,100.00 ,311.26 ,21.83 ,11.83 ,19.64 ,553.89 ,0.00 ,39.88 ,130.66 ,183.43 ,5.95 ,1.08 ,0.91 ,165.90 ,0.00 ,,
286,튀김류10,10-011-003,생선가스,200.00 ,646.21 ,57.38 ,24.50 ,37.09 ,817.27 ,0.00 ,34.16 ,303.64 ,229.95 ,-,1.95 ,1.43 ,176.30 ,0.00 ,,
287,튀김류10,10-011-004,쥐포튀김,100.00 ,353.33 ,37.99 ,11.21 ,16.54 ,423.80 ,0.00 ,26.87 ,127.54 ,145.28 ,13.70 ,1.00 ,0.48 ,75.64 ,0.00 ,,
288,튀김류10,10-011-005,오징어튀김,100.00 ,308.43 ,26.02 ,13.46 ,16.50 ,361.57 ,0.00 ,21.98 ,196.91 ,186.94 ,22.22 ,0.74 ,0.99 ,133.00 ,0.00 ,,
289,튀김류10,10-012-001,닭강정,100.00 ,323.25 ,24.21 ,18.34 ,15.56 ,413.14 ,1.74 ,18.98 ,179.07 ,104.22 ,5.75 ,1.37 ,2.00 ,107.50 ,0.00 ,,
290,튀김류10,10-012-002,닭튀김,300.00 ,909.81 ,45.92 ,54.55 ,52.34 ,1150.13 ,0.00 ,94.75 ,533.19 ,512.28 ,-,5.45 ,6.08 ,380.63 ,0.00 ,,
291,튀김류10,10-012-003,돈가스,200.00 ,620.64 ,36.56 ,27.78 ,39.12 ,557.09 ,0.00 ,31.36 ,264.76 ,685.79 ,-,2.20 ,3.04 ,138.34 ,0.00 ,,
292,튀김류10,10-012-004,모래집튀김,150.00 ,457.35 ,31.86 ,22.29 ,25.89 ,297.01 ,0.00 ,72.28 ,247.59 ,459.02 ,-,1.47 ,0.86 ,137.65 ,0.00 ,,
293,튀김류10,10-012-005,양념치킨,200.00 ,567.58 ,38.84 ,30.47 ,31.15 ,777.86 ,12.36 ,51.00 ,315.66 ,381.26 ,-,3.35 ,3.52 ,259.00 ,0.00 ,,
294,튀김류10,10-012-006,치즈돈가스,250.00 ,758.50 ,45.48 ,36.02 ,46.15 ,855.05 ,0.00 ,72.78 ,344.36 ,569.98 ,-,2.51 ,3.60 ,146.40 ,0.00 ,,
295,튀김류10,10-012-007,치킨가스,200.00 ,582.01 ,51.28 ,31.03 ,28.64 ,748.73 ,0.00 ,32.65 ,186.99 ,384.26 ,-,2.03 ,2.02 ,113.30 ,0.00 ,,
296,튀김류10,10-012-008,탕수육,200.00 ,454.44 ,56.49 ,17.06 ,16.59 ,403.26 ,1.90 ,36.44 ,194.01 ,468.95 ,-,2.12 ,1.68 ,76.48 ,0.00 ,,
297,튀김류10,10-012-009,깐풍기,200.00 ,585.08 ,43.36 ,27.80 ,33.34 ,629.27 ,13.94 ,41.02 ,184.71 ,523.54 ,-,2.73 ,1.93 ,173.00 ,0.00 ,,
298,튀김류10,10-014-001,감자튀김,150.00 ,462.11 ,50.10 ,6.24 ,25.76 ,374.22 ,0.00 ,10.32 ,95.48 ,344.24 ,-,1.43 ,0.46 ,0.00 ,0.00 ,,
299,튀김류10,10-014-002,고구마맛탕,200.00 ,490.93 ,90.19 ,3.30 ,13.53 ,213.33 ,1.43 ,108.33 ,94.47 ,587.22 ,-,3.61 ,1.13 ,0.00 ,0.00 ,,
300,튀김류10,10-014-003,고구마튀김,100.00 ,241.57 ,34.10 ,3.21 ,10.80 ,150.64 ,0.00 ,20.69 ,73.99 ,298.57 ,18.10 ,0.63 ,0.31 ,19.00 ,0.00 ,,
301,튀김류10,10-014-004,고추튀김,100.00 ,198.35 ,12.74 ,6.48 ,13.63 ,260.65 ,0.00 ,23.39 ,99.96 ,147.68 ,12.92 ,0.90 ,0.70 ,190.00 ,0.00 ,,
302,튀김류10,10-014-005,김말이튀김,100.00 ,240.56 ,32.49 ,2.25 ,12.38 ,393.02 ,0.00 ,28.85 ,61.65 ,123.57 ,0.64 ,1.28 ,0.22 ,0.00 ,0.00 ,,
303,튀김류10,10-014-006,채소튀김,100.00 ,311.99 ,36.35 ,3.01 ,18.53 ,277.28 ,0.00 ,33.33 ,91.97 ,274.17 ,11.29 ,0.52 ,0.33 ,0.00 ,0.00 ,,
304,무침류11,11-011-001,노각무침,150.00 ,81.35 ,16.43 ,3.09 ,2.07 ,822.10 ,5.09 ,38.82 ,89.11 ,573.20 ,-,1.67 ,0.81 ,0.00 ,0.00 ,,
305,무침류11,11-011-002,단무지무침,50.00 ,19.19 ,3.22 ,0.47 ,0.91 ,447.86 ,0.97 ,17.34 ,13.32 ,87.64 ,-,0.37 ,0.17 ,0.00 ,0.00 ,,
306,무침류11,11-011-003,달래나물무침,150.00 ,132.69 ,25.26 ,4.77 ,3.30 ,852.99 ,13.54 ,119.65 ,101.45 ,554.06 ,-,2.59 ,1.20 ,0.00 ,0.00 ,,
307,무침류11,11-011-004,더덕무침,150.00 ,220.89 ,48.44 ,4.89 ,2.74 ,1203.58 ,31.54 ,35.80 ,129.72 ,286.31 ,-,2.49 ,0.31 ,0.00 ,0.00 ,,
308,무침류11,11-011-005,도라지생채,150.00 ,165.23 ,38.59 ,4.15 ,1.71 ,789.08 ,3.00 ,75.06 ,151.51 ,725.86 ,-,6.41 ,0.40 ,0.00 ,0.00 ,,
309,무침류11,11-011-006,도토리묵,100.00 ,43.05 ,9.87 ,0.40 ,0.35 ,116.47 ,1.40 ,8.82 ,28.49 ,41.84 ,1.21 ,0.46 ,0.12 ,0.00 ,0.00 ,,
310,무침류11,11-011-007,마늘쫑무침,30.00 ,38.12 ,9.35 ,0.98 ,0.28 ,423.46 ,3.28 ,9.23 ,23.69 ,95.61 ,-,0.34 ,0.38 ,0.00 ,0.00 ,,
311,무침류11,11-011-008,무생채,150.00 ,73.68 ,16.00 ,2.63 ,1.28 ,832.19 ,4.50 ,73.92 ,69.60 ,478.52 ,-,1.78 ,0.78 ,1.68 ,0.00 ,,
312,무침류11,11-011-009,무말랭이,30.00 ,39.89 ,9.63 ,1.36 ,0.34 ,378.78 ,1.03 ,35.82 ,35.25 ,252.68 ,-,0.95 ,0.18 ,0.04 ,0.00 ,,
313,무침류11,11-011-010,오이생채,50.00 ,23.36 ,4.63 ,0.89 ,0.50 ,269.31 ,1.52 ,14.82 ,33.46 ,147.13 ,-,0.44 ,0.20 ,0.00 ,0.00 ,,
314,무침류11,11-011-011,파무침,150.00 ,124.30 ,19.47 ,3.82 ,5.41 ,693.83 ,8.37 ,146.02 ,81.48 ,377.30 ,-,2.39 ,0.41 ,10.05 ,0.00 ,,
315,무침류11,11-012-001,상추겉절이,200.00 ,130.62 ,17.99 ,5.65 ,6.25 ,952.32 ,2.00 ,136.84 ,146.78 ,850.54 ,-,3.27 ,1.18 ,5.36 ,0.00 ,,
316,무침류11,11-012-002,쑥갓나물무침,150.00 ,94.86 ,8.78 ,5.49 ,6.51 ,700.12 ,0.00 ,69.17 ,87.67 ,453.75 ,-,2.87 ,0.44 ,0.00 ,0.00 ,,
317,무침류11,11-012-003,청포묵무침,250.00 ,157.61 ,19.68 ,2.96 ,4.23 ,756.74 ,13.74 ,67.04 ,99.44 ,334.03 ,-,1.94 ,0.74 ,2.35 ,0.00 ,,
318,무침류11,11-012-004,해파리냉채,150.00 ,87.29 ,13.83 ,6.63 ,1.55 ,490.13 ,7.49 ,69.36 ,220.37 ,360.60 ,-,5.35 ,0.98 ,17.63 ,0.00 ,,
319,무침류11,11-013-001,가지나물,50.00 ,21.87 ,3.03 ,0.73 ,1.27 ,159.17 ,0.00 ,11.32 ,20.29 ,125.29 ,-,0.34 ,0.14 ,0.00 ,0.00 ,,
320,무침류11,11-013-002,고사리나물,50.00 ,43.51 ,3.80 ,1.97 ,3.26 ,251.53 ,0.00 ,20.35 ,32.94 ,302.39 ,-,1.81 ,0.94 ,0.00 ,0.00 ,,
321,무침류11,11-013-003,도라지나물,50.00 ,54.68 ,5.34 ,0.67 ,3.82 ,256.67 ,0.00 ,15.10 ,24.06 ,104.97 ,-,0.91 ,0.08 ,0.00 ,0.00 ,,
322,무침류11,11-013-004,무나물,50.00 ,34.58 ,3.04 ,0.58 ,2.56 ,293.52 ,0.00 ,18.05 ,16.53 ,143.43 ,-,0.46 ,0.20 ,0.00 ,0.00 ,,
323,무침류11,11-013-005,미나리나물,50.00 ,28.34 ,2.56 ,0.99 ,2.14 ,165.52 ,0.00 ,18.45 ,28.82 ,239.04 ,-,1.16 ,0.19 ,0.00 ,0.00 ,,
324,무침류11,11-013-006,숙주나물,50.00 ,19.51 ,1.56 ,1.31 ,1.35 ,186.73 ,0.00 ,10.11 ,20.87 ,85.47 ,-,0.38 ,0.19 ,0.00 ,0.00 ,,
325,무침류11,11-013-007,시금치나물,50.00 ,37.51 ,3.82 ,2.07 ,2.37 ,217.26 ,0.00 ,37.59 ,24.55 ,311.26 ,-,1.77 ,0.40 ,0.00 ,0.00 ,,
326,무침류11,11-013-009,취나물,50.00 ,72.94 ,3.46 ,1.60 ,6.71 ,288.65 ,0.00 ,58.38 ,30.07 ,222.98 ,-,1.09 ,0.03 ,0.00 ,0.00 ,,
327,무침류11,11-013-010,콩나물,50.00 ,24.13 ,1.15 ,1.64 ,1.98 ,203.50 ,0.00 ,12.78 ,21.61 ,78.36 ,-,0.43 ,0.23 ,0.00 ,0.00 ,,
328,무침류11,11-013-011,고구마줄기나물,50.00 ,30.44 ,2.97 ,0.63 ,2.24 ,255.71 ,0.00 ,28.19 ,19.65 ,73.77 ,-,0.91 ,0.18 ,0.00 ,0.00 ,,
329,무침류11,11-013-012,우거지나물무침,150.00 ,126.11 ,10.28 ,5.08 ,8.66 ,774.55 ,1.50 ,513.00 ,108.69 ,94.11 ,-,21.90 ,0.45 ,0.00 ,0.00 ,,
330,무침류11,11-014-001,골뱅이무침,100.00 ,107.35 ,15.56 ,7.91 ,2.30 ,515.92 ,6.06 ,40.48 ,89.79 ,346.35 ,4.94 ,1.44 ,0.88 ,45.56 ,0.00 ,,
331,무침류11,11-014-002,김무침,30.00 ,81.01 ,12.19 ,4.71 ,4.12 ,498.63 ,6.93 ,45.44 ,95.12 ,413.57 ,-,2.16 ,0.57 ,0.00 ,0.00 ,,
332,무침류11,11-014-003,미역초무침,50.00 ,24.94 ,5.70 ,1.07 ,0.54 ,285.80 ,4.00 ,47.27 ,28.82 ,236.75 ,-,0.40 ,0.12 ,0.00 ,0.00 ,,
333,무침류11,11-014-004,북어채무침,150.00 ,332.05 ,31.33 ,37.37 ,5.80 ,1048.53 ,18.02 ,245.11 ,744.84 ,782.64 ,-,2.58 ,0.89 ,108.57 ,0.00 ,,
334,무침류11,11-014-005,회무침,300.00 ,311.59 ,42.88 ,27.18 ,4.26 ,1253.25 ,26.41 ,200.10 ,314.51 ,955.84 ,-,4.38 ,1.68 ,61.38 ,0.00 ,,
335,무침류11,11-014-006,쥐치채,20.00 ,53.39 ,10.18 ,2.77 ,0.20 ,289.45 ,6.60 ,14.29 ,31.71 ,78.51 ,-,0.30 ,0.12 ,5.93 ,0.00 ,,
336,무침류11,11-014-007,파래무침,30.00 ,31.59 ,5.43 ,2.34 ,0.69 ,252.05 ,0.90 ,64.54 ,19.04 ,74.49 ,-,1.71 ,0.15 ,0.00 ,0.00 ,,
337,무침류11,11-014-008,홍어무침,200.00 ,193.14 ,24.90 ,21.64 ,2.27 ,817.42 ,9.43 ,337.43 ,320.55 ,842.66 ,-,3.47 ,1.26 ,79.20 ,0.00 ,,
338,무침류11,11-014-009,골뱅이국수무침,230.00 ,256.42 ,39.63 ,10.52 ,7.01 ,911.74 ,0.00 ,97.58 ,151.38 ,492.58 ,-,2.84 ,1.23 ,39.98 ,0.00 ,,
339,무침류11,11-014-010,오징어무침,200.00 ,249.53 ,13.55 ,38.67 ,4.19 ,682.39 ,0.00 ,78.58 ,556.64 ,660.14 ,-,1.86 ,3.40 ,430.92 ,0.00 ,,
340,무침류11,11-015-001,잡채,150.00 ,198.82 ,37.47 ,2.59 ,4.70 ,664.75 ,2.99 ,50.13 ,53.94 ,294.12 ,-,2.91 ,0.48 ,14.25 ,0.00 ,,
341,무침류11,11-015-002,탕평채,100.00 ,101.19 ,10.20 ,3.53 ,3.11 ,247.42 ,6.99 ,38.80 ,89.96 ,269.97 ,6.26 ,1.23 ,0.82 ,4.95 ,0.00 ,,
342,김치류12,12-011-001,갓김치,50.00 ,27.64 ,5.21 ,1.98 ,0.70 ,447.77 ,0.42 ,83.19 ,30.59 ,222.81 ,-,1.32 ,0.48 ,3.51 ,0.00 ,,
343,김치류12,12-011-002,고들빼기,50.00 ,55.39 ,11.99 ,2.21 ,0.56 ,733.75 ,0.00 ,37.38 ,44.59 ,177.84 ,-,1.80 ,0.37 ,0.55 ,0.00 ,,
344,김치류12,12-011-003,깍두기,50.00 ,17.99 ,3.95 ,1.00 ,0.23 ,338.88 ,0.05 ,19.16 ,15.33 ,148.05 ,-,0.56 ,0.14 ,4.07 ,0.00 ,,
345,김치류12,12-011-004,깻잎김치,150.00 ,124.49 ,23.27 ,6.10 ,3.16 ,1907.64 ,2.99 ,131.99 ,93.45 ,752.09 ,-,3.01 ,1.27 ,29.66 ,0.00 ,,
346,김치류12,12-011-005,나박김치,100.00 ,14.75 ,2.26 ,0.63 ,0.42 ,509.47 ,0.01 ,12.54 ,11.62 ,77.83 ,0.03 ,0.36 ,0.08 ,0.00 ,0.00 ,,
347,김치류12,12-011-006,동치미,400.00 ,57.69 ,14.26 ,2.70 ,0.64 ,2313.58 ,0.00 ,43.02 ,47.37 ,438.22 ,-,1.39 ,0.29 ,0.00 ,0.00 ,,
348,김치류12,12-011-007,배추겉절이,50.00 ,21.24 ,4.48 ,0.94 ,0.50 ,325.41 ,1.00 ,21.84 ,23.14 ,182.36 ,-,0.48 ,0.31 ,1.34 ,0.00 ,,
349,김치류12,12-011-008,배추김치,50.00 ,18.43 ,4.16 ,1.15 ,0.30 ,309.53 ,0.50 ,35.85 ,24.24 ,207.14 ,-,0.63 ,0.32 ,3.41 ,0.00 ,,
350,김치류12,12-011-009,백김치,50.00 ,19.80 ,4.38 ,0.80 ,0.26 ,211.72 ,0.00 ,22.88 ,18.19 ,153.42 ,-,0.43 ,0.24 ,0.04 ,0.00 ,,
351,김치류12,12-011-010,부추김치,50.00 ,32.91 ,6.29 ,1.88 ,0.57 ,399.38 ,3.49 ,13.93 ,15.23 ,228.66 ,-,1.28 ,0.19 ,0.00 ,0.00 ,,
352,김치류12,12-011-011,열무김치,50.00 ,16.29 ,3.16 ,1.34 ,0.35 ,308.35 ,1.20 ,64.55 ,28.57 ,411.85 ,-,1.39 ,0.13 ,0.00 ,0.00 ,,
353,김치류12,12-011-012,열무얼갈이김치,50.00 ,16.57 ,3.03 ,1.27 ,0.40 ,344.20 ,0.00 ,47.91 ,33.17 ,177.00 ,-,0.84 ,0.21 ,4.20 ,0.00 ,,
354,김치류12,12-011-013,오이소박이,50.00 ,16.67 ,2.96 ,0.94 ,0.53 ,276.19 ,1.20 ,22.34 ,39.57 ,184.88 ,-,0.54 ,0.19 ,1.45 ,0.00 ,,
355,김치류12,12-011-014,총각김치,50.00 ,17.56 ,3.44 ,1.03 ,0.37 ,347.17 ,0.00 ,50.19 ,25.63 ,168.11 ,-,0.88 ,0.19 ,4.43 ,0.00 ,,
356,김치류12,12-011-015,파김치,50.00 ,28.01 ,5.47 ,1.55 ,0.70 ,395.87 ,1.00 ,46.63 ,20.36 ,179.12 ,-,0.82 ,0.34 ,4.69 ,0.00 ,,
357,절임류13,13-011-001,간장게장,250.00 ,292.70 ,13.89 ,32.67 ,2.09 ,3075.53 ,0.17 ,267.12 ,458.43 ,1137.69 ,-,7.55 ,8.41 ,223.13 ,0.00 ,,
358,절임류13,13-011-002,마늘쫑장아찌,50.00 ,28.27 ,6.19 ,1.05 ,0.13 ,778.60 ,2.35 ,8.39 ,23.65 ,105.69 ,-,0.33 ,0.34 ,0.00 ,0.00 ,,
359,절임류13,13-011-003,고추장아찌,30.00 ,22.36 ,4.18 ,0.80 ,0.09 ,787.30 ,3.00 ,4.75 ,16.66 ,83.33 ,-,0.22 ,0.14 ,0.00 ,0.00 ,,
360,절임류13,13-011-004,깻잎장아찌,30.00 ,33.64 ,7.87 ,2.11 ,0.36 ,568.75 ,2.78 ,84.17 ,40.46 ,220.79 ,-,1.01 ,0.43 ,0.63 ,0.00 ,,
361,절임류13,13-011-005,마늘장아찌,30.00 ,16.06 ,3.07 ,0.79 ,0.02 ,481.75 ,0.30 ,1.74 ,14.80 ,64.27 ,-,0.12 ,0.13 ,0.00 ,0.00 ,,
362,절임류13,13-011-006,무장아찌,30.00 ,27.34 ,5.31 ,0.57 ,0.26 ,933.28 ,3.30 ,15.62 ,15.06 ,106.02 ,-,0.32 ,0.15 ,0.00 ,0.00 ,,
363,절임류13,13-011-007,양념게장,200.00 ,275.55 ,46.33 ,20.41 ,2.06 ,1747.84 ,26.52 ,165.87 ,283.47 ,792.52 ,-,5.25 ,5.23 ,134.40 ,0.00 ,,
364,절임류13,13-011-008,양파장아찌,50.00 ,19.72 ,3.54 ,0.58 ,0.05 ,423.61 ,1.50 ,5.05 ,13.41 ,63.34 ,-,0.18 ,0.13 ,0.00 ,0.00 ,,
365,절임류13,13-011-009,오이지,50.00 ,11.44 ,2.39 ,1.14 ,0.31 ,926.00 ,0.00 ,30.22 ,80.08 ,328.19 ,-,0.63 ,0.32 ,0.00 ,0.00 ,,
366,절임류13,13-011-010,무피클,50.00 ,17.00 ,4.19 ,0.40 ,0.05 ,6.60 ,1.99 ,13.08 ,11.56 ,108.32 ,-,0.35 ,0.15 ,0.00 ,0.00 ,,
